cluster,label,description,review_note,n_docs,n_paper,n_project,n_patent,dominant_type,is_carbon_capture,top_terms,nearest_siblings,representative_titles
22,Cell-Free Protein Synthesis,In vitro transcription-translation systems for rapid prototyping and biomolecular engineering without living cells.,,219,184,12,23,paper,False,"cfps, tx tl, free synthetic, free transcription, tl, tx, txtl, cfe",c23:Synthetic Cells and Protocells(0.76) | c31:RNA Regulatory Elements(0.72) | c24:Peptide Coiled-Coil Assembly(0.70) | c33:Modular DNA Assembly Standards(0.69) | c50:Minimal Genome Design(0.69),Bottom-up construction of complex biomolecular systems with cell-free synthetic biology | Cell-Free Synthetic Biology: Engineering Beyond the Cell | The all-E. coliTXTL toolbox 3.0: new capabilities of a cell-free synthetic biology platform | Cell-free synthetic biology: Orchestrating the machinery for biomolecular engineering | Advancing synthetic biology through cell-free protein synthesis | “Cell-Free Synthetic Biology”: Synthetic Biology Meets Cell-Free Protein Synthesis | Deconstructing Cell-Free Extract Preparation for <i>in Vitro</i> Activation of Transcriptional Genetic Circuitry | Development of a Cell-Free Synthetic Biology Platform | An integrated cell‐free metabolic platform for protein production and synthetic biology | Cell‐Free Synthetic Systems for Metabolic Engineering and Biosynthetic Pathway Prototyping
23,Synthetic Cells and Protocells,"Engineering artificial cell-like compartments using lipid vesicles, DNA origami, and phase separation for bottom-up synthetic biology.",,450,419,3,28,paper,False,"guvs, giant unilamellar, dna origami, condensates, lipid vesicles, unilamellar, synthetic cells, unilamellar vesicles",c22:Cell-Free Protein Synthesis(0.76) | c24:Peptide Coiled-Coil Assembly(0.71) | c29:Microfluidic Droplet Systems(0.71) | c20:Synthetic ECM Scaffolds for Stem Cell Differentiation(0.67) | c17:Bacterial Compartmentalization Systems(0.66),Engineering spatiotemporal organization and dynamics in synthetic cells | Interface Engineering in Multiphase Systems toward Synthetic Cells and Organelles: From Soft Matter Fundamentals to Biomedical Applications | Sculpting DNA-based synthetic cells through phase separation and phase-targeted activity | Shaping up synthetic cells | Dynamic Control of Functional Coacervates in Synthetic Cells | One-Pot Assembly of Complex Giant Unilamellar Vesicle-Based Synthetic Cells | Regulating Biocondensates within Synthetic Cells via Segregative Phase Separation | Shape and Size Control of Artificial Cells for Bottom-Up Biology | Motility of Synthetic Cells from Engineered Lipids | Synthetic‐Cell‐Based Multi‐Compartmentalized Hierarchical Systems
24,Peptide Coiled-Coil Assembly,Rational design and self-assembly of synthetic peptide building blocks using coiled-coil motifs for protein-like nanostructures.,,186,103,2,81,paper,False,"pubmed scopus, scopus, nat rev, scopus google, coiled coil, coiled, elms, pubmed",c10:Genetic Code Expansion with Noncanonical Amino Acids(0.83) | c21:Fluorescent Protein Engineering(0.79) | c17:Bacterial Compartmentalization Systems(0.78) | c20:Synthetic ECM Scaffolds for Stem Cell Differentiation(0.78) | c66:Peptide-Based Cell Targeting(0.76),Synthesis of Native Proteins by Chemical Ligation | Protein-Based Biological Materials: Molecular Design and Artificial Production | Rational design of peptide-based building blocks for nanoscience and synthetic biology | Methods for production and purification of polypeptides | Synthetic Peptides as Protein Mimics | Approaching infinite affinity through engineering of peptide–protein interaction | Chemoselective Ligation and Modification Strategies for Peptides and Proteins | Self‐Assembly of Coiled Coils in Synthetic Biology: Inspiration and Progress | Synthetic Biology: A New Tool for the Trade | Protein Assembly: Versatile Approaches to Construct Highly Ordered Nanostructures
25,Electrochemical Immunoassay Biosensors,Electrode-based detection devices using surface-modified polymers and binding pairs for molecular analyte sensing.,,62,4,0,58,patent,False,"analyte, binding pair, outlet, analytes, electrode surface, electrode, bar, devices methods",c29:Microfluidic Droplet Systems(0.85) | c40:Aptamer-Based Biosensors(0.84) | c36:Transcription Factor Biosensors(0.78) | c21:Fluorescent Protein Engineering(0.77) | c30:Carbon Nanotube Nanostructures(0.77),DETECTION ASSAY DEVICES AND METHODS OF MAKING AND USING THE SAME | DETECTION DEVICES AND RELATED METHODS OF USE | Targeted molecular bar codes and methods for using the same | Microchip and Method for Detecting Molecules and Molecular Interactions | Analyte sensing mediated by adapter/carrier molecules | Biosensor compositions and methods of use | Non-fouling polymeric surface modification and signal amplification method for biomolecular detection | SURFACE CHEMISTRY AND DEPOSITION TECHNIQUES | Binding acceleration techniques for the detection of analytes | Methods and compositions for use in analyte detection using proximity probes
26,Recombinant Spider Silk Proteins,Engineering spider silk proteins in bacteria for synthetic fiber production with natural mechanical properties.,,57,17,39,1,project,False,"silk protein, spider silk, spider, silk, silk proteins, intein, silks, protein splicing",c59:Engineered Biocontrol Agents(0.77) | c44:Cellulose Degradation & Biomaterials(0.77) | c47:Bacillus subtilis Biofilm Engineering(0.77) | c17:Bacterial Compartmentalization Systems(0.74) | c24:Peptide Coiled-Coil Assembly(0.74),SilkyColi: Reprogramming the physical and functional properties of synthetic silks | SETA - Silk Engineered Technology & Applications | BioSpatch: Synthetic Spidersilk-Proteins Plasters for Chronic Wounds | Programming Synthetic Fibers: Strong as Steel Meets Soft as Silk | Engineered Spider Silk Proteins for Biomimetic Spinning of Fibers with Toughness Equal to Dragline Silks | Netlantis: Making a sustainable impact in the fishing industry by developing novel net fibres | ArachniColi | Project SSS | Recombinant Spidroins Fully Replicate Primary Mechanical Properties of Natural Spider Silk | Artificially Synthesizing Caddisfly Silk in Yeast as an Alternative Surgical Mesh
27,PETase Engineering for Plastic Degradation,Engineering and optimizing PETase and MHETase enzymes from Idionella sakaiensis to degrade polyethylene terephthalate (PET) plastics.,,128,26,101,1,project,False,"pet degradation, petase, tpa, terephthalic, terephthalic acid, mhetase, sakaiensis, ideonella",c44:Cellulose Degradation & Biomaterials(0.78) | c46:Psychobiotic Probiotic Engineering(0.77) | c35:Polyhydroxyalkanoate Biopolymer Production(0.76) | c37:Aromatic Hydrocarbon Bioremediation(0.73) | c17:Bacterial Compartmentalization Systems(0.73),Fast Pace PETase | Optimizing Efficiency of PETase Mutants for Solution to Plastic Pollution | Optimizing plastic degradation with optimization of PETase | Using thermostable and active Fast PETase enzyme to degrade PET plastics in simulated marine environment | Decomposition of the PET Film by MHETase Using Exo-PETase Function | Plasteriase: Mutating a Bacterial PET-degrading Enzyme | PETrify: Unbottling the Future Using FAST-PETase-mutated MHETase Combinations | Improved PETase for filter cloth recovery through protein engineering | WAVEPLAST | PET-X: Living Biocatalysts for Plastic Degradation
28,Synthetic Microbial Consortia,Engineering multi-organism microbial communities with designed interactions for biotechnology and environmental applications.,,51,48,1,2,paper,False,"microbial interactions, cross feeding, evenness, synthetic microbiome, microbial consortia, synthetic communities, consortia, coculture",c57:Microbial Bioremediation & Biochemical Production(0.83) | c19:Engineered Live Bacterial Therapeutics(0.78) | c45:Site-Specific Recombinase Integration(0.77) | c63:Lignocellulose Bioconversion to Biofuels(0.77) | c65:Genetic Circuit Dynamics(0.73),"Construction of Environmental Synthetic Microbial Consortia: Based on Engineering and Ecological Principles | Synthetic Biology Tools to Engineer Microbial Communities for Biotechnology | Multifaceted Applications of Synthetic Microbial Communities: Advances in Biomedicine, Bioremediation, and Industry | Design, analysis and application of synthetic microbial consortia | Synthetic microbial consortia: from systematic analysis to construction and applications | Engineered microbial consortia: strategies and applications | Bottom-Up Approaches to Synthetic Cooperation in Microbial Communities | Synthetic microbial consortia for biosynthesis and biodegradation: promises and challenges | Ecological perspectives on synthetic biology: insights from microbial population biology | Syntrophic exchange in synthetic microbial communities"
29,Microfluidic Droplet Systems,"Microfluidic devices for manipulating, controlling, and analyzing droplets and emulsions in integrated fluidic systems.",,167,28,0,139,patent,False,"outlet, droplets, emulsions, droplet, fluidic, microchannel, microfluidic systems, porous",c25:Electrochemical Immunoassay Biosensors(0.85) | c30:Carbon Nanotube Nanostructures(0.81) | c24:Peptide Coiled-Coil Assembly(0.75) | c36:Transcription Factor Biosensors(0.74) | c21:Fluorescent Protein Engineering(0.73),"METHOD AND DEVICE FOR READING AN EMULSION | Method and apparatus for fluid dispersion | MANIPULATION OF FLUIDS, FLUID COMPONENTS AND REACTIONS IN MICROFLUIDIC SYSTEMS | Microfluidic system | FLUID CONTROL STRUCTURES IN MICROFLUIDIC DEVICES | Microfluidic manipulation of fluids and reactions | VALVES AND OTHER FLOW CONTROL IN FLUIDIC SYSTEMS INCLUDING MICROFLUIDIC SYSTEMS | Reconfigurable microfluidic systems: scalable, multiplexed immunoassays | DROPLET-BASED SELECTION | Method and apparatus for integrated cell handling and measurements"
30,Carbon Nanotube Nanostructures,Fabrication and assembly of carbon nanotubes and aligned nanostructures for nanoscale devices and sensors.,,56,2,1,53,patent,False,"nanoscale wire, porous silicon, carbon nanotube, carbon nanotubes, nanotube, nanoscale wires, silicon substrate, nanotubes",c29:Microfluidic Droplet Systems(0.81) | c25:Electrochemical Immunoassay Biosensors(0.77) | c24:Peptide Coiled-Coil Assembly(0.70) | c9:Organic Photovoltaic Materials(0.67) | c32:Synthetic XNA and Unnatural Bases(0.67),"Method for manufacturing single wall carbon nanotube tips | Direct growth of nanotubes, and their use in nanotweezers | Nanosensors | Vertically aligned nanostructure scanning probe microscope tips | Method of making a 3-D structure | ALIGNED NANOARRAY AND METHOD FOR FABRICATING THE SAME | Patterning of nanostructures | NOVEL NANOSTRUCTURES AND PROCESS OF PREPARING SAME | NANOSTRUCTURE AND PROCESS OF FABRICATING SAME | FABRICATION OF SELF ASSEMBLING NANO-STRUCTURES"
31,RNA Regulatory Elements,"Riboswitches, ribozymes, and aptamers as synthetic post-transcriptional gene control devices.",,110,92,2,16,paper,False,"riboregulators, s1, iress, riboswitches, hammerhead, riboswitch, translation coupling, ribozymes",c32:Synthetic XNA and Unnatural Bases(0.81) | c64:Bacterial Promoter Engineering(0.79) | c10:Genetic Code Expansion with Noncanonical Amino Acids(0.76) | c12:Mammalian Gene Circuit Engineering(0.75) | c65:Genetic Circuit Dynamics(0.73),"RNA aptamers as genetic control devices: The potential of riboswitches as synthetic elements for regulating gene expression | Synthetic Biology of Small RNAs and Riboswitches | Applications and limitations of regulatory<scp>RNA</scp>elements in synthetic biology and biotechnology | An engineered small RNA-mediated genetic switch based on a ribozyme expression platform | Riboswitch-inspired toehold riboregulators for gene regulation in <i>Escherichia coli</i> | Opportunities in the design and application of RNA for gene expression control | RNA Switches for Synthetic Biology | A renaissance in RNA synthetic biology: new mechanisms, applications and tools for the future | Modularity of Select Riboswitch Expression Platforms Enables Facile Engineering of Novel Genetic Regulatory Devices | De novo design of a synthetic riboswitch that regulates transcription termination"
32,Synthetic XNA and Unnatural Bases,Synthesis and polymerization of artificially expanded genetic alphabets and non-standard nucleobases beyond natural DNA/RNA.,,334,68,7,259,patent,False,"aegis, target nucleic, artificially expanded, hydrogen bonding, unnatural base, nucleobase, xna, dna polymerases",c33:Modular DNA Assembly Standards(0.81) | c31:RNA Regulatory Elements(0.81) | c10:Genetic Code Expansion with Noncanonical Amino Acids(0.79) | c45:Site-Specific Recombinase Integration(0.76) | c24:Peptide Coiled-Coil Assembly(0.73),"Methods and apparatus for synthesizing nucleic acids | METHODS AND DEVICES FOR NUCLEIC ACIDS SYNTHESIS | Reagents for reversibly terminating primer extension | Modified template-independent enzymes for polydeoxynucleotide synthesis | Chemically modified nucleoside 5'-triphosphates for thermally initiated amplification of nucleic acid | METHOD OF PREPARING NUCLEIC ACID MOLECULES | Design, synthesis and assembly of synthetic nucleic acids | Methods for sequencing nucleic acid molecules | ASSEMBLY OF HIGH FIDELITY POLYNUCLEOTIDES | A method for production of single-stranded nucleic acids"
33,Modular DNA Assembly Standards,"Standardized, automatable DNA assembly methods using Type IIS restriction enzymes and modular cloning frameworks for synthetic biology.",,94,81,7,6,paper,False,"seva, lcr, moclo, automated dna, dna assembly, type iis, iis, iis restriction",c45:Site-Specific Recombinase Integration(0.85) | c53:SBOL Data Standards and Markup(0.84) | c64:Bacterial Promoter Engineering(0.82) | c32:Synthetic XNA and Unnatural Bases(0.81) | c50:Minimal Genome Design(0.78),"BASIC: A New Biopart Assembly Standard for Idempotent Cloning Provides Accurate, Single-Tier DNA Assembly for Synthetic Biology | DNA-BOT: A low-cost, automated DNA assembly platform for synthetic biology | PaperClip: rapid multi-part DNA assembly from existing libraries | BglBricks: A flexible standard for biological part assembly | 2ab assembly: a methodology for automatable, high-throughput assembly of standard biological parts | BioBrick-based ‘Quick Gene Assembly’ in vitro | Standardizing Automated DNA Assembly: Best Practices, Metrics, and Protocols Using Robots | High-throughput, cost-effective verification of structural DNA assembly | j5 DNA Assembly Design Automation Software | In-Fusion BioBrick assembly and re-engineering"
34,Genomic Variant Prediction & Benchmarking,Machine learning methods for genomic prediction and variant calling validation using synthetic sequencing data and feature selection.,,87,64,0,23,paper,False,"gwas, predictive performance, regularized, mutational signatures, genomic prediction, synthetic associations, synthetic data, genomic data",c33:Modular DNA Assembly Standards(0.77) | c13:CRISPR-Cas9 Genome Editing(0.76) | c49:Saccharomyces cerevisiae Sc2.0 Synthesis(0.74) | c4:Circulating Tumor DNA MRD Detection(0.73) | c12:Mammalian Gene Circuit Engineering(0.73),"A survey of tools for variant analysis of next-generation genome sequencing data | SCSilicon: a tool for synthetic single-cell DNA sequencing data generation | Comparing the performance of selected variant callers using synthetic data and genome segmentation | Extensive sequencing of seven human genomes to characterize benchmark reference materials | ONT long-read WGS for variant discovery and orthogonal confirmation of short read WGS derived genetic variants in clinical genetic testing | A universal and independent synthetic DNA ladder for the quantitative measurement of genomic features | Comparison of the Data of a Next-Generation Sequencing Panel from K-MASTER Project with That of Orthogonal Methods for Detecting Targetable Genetic Al | A Rigorous Interlaboratory Examination of the Need to Confirm Next-Generation Sequencing–Detected Variants with an Orthogonal Method in Clinical Genet | Uncovering novel mutational signatures by de novo extraction with SigProfilerExtractor | Genomic prediction using machine learning: a comparison of the performance of regularized regression, ensemble, instance-based and deep learning metho"
35,Polyhydroxyalkanoate Biopolymer Production,Engineered microbial synthesis of biodegradable PHA and PHB polymers as sustainable plastic alternatives.,,67,18,32,17,project,False,"pha, polyhydroxyalkanoate, pla, glycolate, 3hb, lactyl, lactyl coa, phas",c62:Syngas Fermentation to Alcohols(0.83) | c44:Cellulose Degradation & Biomaterials(0.78) | c63:Lignocellulose Bioconversion to Biofuels(0.77) | c27:PETase Engineering for Plastic Degradation(0.76) | c47:Bacillus subtilis Biofilm Engineering(0.76),Escherichia Coli with heterologous polyhydroxyalkanoate (PHA) pathway produces bio-based and biodegradable thermoplastics from industrial co-products | Secretion of polyhydroxybutyrate in Escherichia coli using a synthetic biological engineering approach | RECOMBINANT HOSTS AND METHODS FOR MANUFACTURING POLYHYDROXYALKANOATE | Mutants of PHA synthase from Pseudomonas sp. 6-19 and method for preparing lactate homopolymer or copolymer using the same | A Forward-Design Approach to Increase the Production of Poly-3-Hydroxybutyrate in Genetically Engineered Escherichia coli | PHAgave | oPHAelia: From Waste to Worth | Process for preparing polyhydroxyalkanoate employing maoC gene | Project PHoeBe - Achieving a Feasible Plastic Alternative in the Form of PHB | Recircuit
36,Transcription Factor Biosensors,Engineered microbial whole-cell biosensors using transcription factors to detect metabolites and environmental signals.,,86,81,1,4,paper,False,"cell biosensors, arsenic, glycolytic flux, anoxic, factor based, atf, tf, based biosensors",c64:Bacterial Promoter Engineering(0.86) | c19:Engineered Live Bacterial Therapeutics(0.80) | c57:Microbial Bioremediation & Biochemical Production(0.79) | c25:Electrochemical Immunoassay Biosensors(0.78) | c65:Genetic Circuit Dynamics(0.76),"Accelerating Genetic Sensor Development, Scale-up, and Deployment Using Synthetic Biology | Transcription-Factor-based Biosensor Engineering for Applications in Synthetic Biology | Transcription factor-based biosensors in biotechnology: current state and future prospects | In vivo biosensors: mechanisms, development, and applications | Microbially derived biosensors for diagnosis, monitoring and epidemiology | Microbial Transcription Factor-Based Biosensors: Innovations from Design to Applications in Synthetic Biology | Fundamental Design Principles for Transcription-Factor-Based Metabolite Biosensors | Design, Optimization and Application of Small Molecule Biosensor in Metabolic Engineering | Synthetic Whole-Cell
Bioelectronic Chemical Sensing
with In Situ Genetic Computing | Blueprints for Biosensors: Design, Limitations, and Applications"
37,Aromatic Hydrocarbon Bioremediation,"Engineered microbes for detecting and degrading PAHs, BTEX, and petroleum pollutants from contaminated sites.",,62,2,60,0,project,False,"pcbs, pahs, toluene, xylene, benzene, hydrocarbons pahs, naphthalene, tailings",c55:Nutrient Cycling Biosensors(0.81) | c74:Genetic Logic Circuits(0.79) | c56:Heavy Metal Biosorption and Remediation(0.78) | c46:Psychobiotic Probiotic Engineering(0.75) | c35:Polyhydroxyalkanoate Biopolymer Production(0.75),Engineering microbes to detect and degrade pollutants | micellaway - Bioremediation of PAHs | ImPAHct: Efficient Bacterial System for the Degradation of Polycyclic Aromatic Hydrocarbons in Crude Oil | Development of Fracking Runoff Detectors | ECOS (Environmental COntaminant Sensor) | Rogue E.coli: A Biphenyl Detective | Investigating the Biosensing Capabilities of Microbial Fuel Cells | Enhanced Catechol Degradation via Metabolic Channeling in E. coli | Expanding Our Aromatic Waste Degradation Platform | Keeping DCA at Bay - Assembly of synthetic constructs and cassettes for degradation of dichloroethane.
38,miRNA Diagnostic Biosensors,CRISPR and toehold-based detection systems for microRNA biomarkers in disease screening and early diagnosis.,,97,5,89,3,project,False,"mir, mirna, mirnas, mirna detection, microrna, mir 21, toehold switches, mir 155",c52:miRNA-Based Cancer Immunotherapy(0.85) | c40:Aptamer-Based Biosensors(0.83) | c39:CRISPR Diagnostic Biosensors(0.81) | c74:Genetic Logic Circuits(0.74) | c43:Engineered Bacteria Cancer Immunotherapy(0.69),Early screening of colorectal cancer(CRC) based on CRISPR/Cas12-coupled SlipChip for detection of miRNA | Hypothetical System for Sensing miRNA with High Specificity and Signal Amplification | Early detection of breast cancer using miRNA-155 and miRNA-10b | CADlock: Early Screening for Coronary Artery Disease by Detecting MicroRNAs Through the Rolling Circle Approach | miRADAR: a paper-based test to simplify MS diagnosis | DNA-RNA chimeric circular probe-based DSN/Cas12a double enzymatic plasma trace microRNA detection system | Etiological classification system of chronic musculoskeletal pain based on miRNA biomarkers | Heartecho: A cancer screening kit for post-myocardial infarction patients | Development of a novel tube-based rapid blood-microRNA detection system with CRISPR-Cas9 | BreFast: A Fast and Convenient Screening Kit for Breast Cancer Early Detection
39,CRISPR Diagnostic Biosensors,CRISPR-Cas nucleases coupled with isothermal amplification for rapid pathogen and resistance detection.,,155,11,142,2,project,False,"cas13a, cas13, cas12a, t7 phage, rpa, dcas9, omvs, grna",c74:Genetic Logic Circuits(0.81) | c38:miRNA Diagnostic Biosensors(0.81) | c40:Aptamer-Based Biosensors(0.80) | c13:CRISPR-Cas9 Genome Editing(0.79) | c59:Engineered Biocontrol Agents(0.78),CADAR: CRISPR-Assisted Detection and Removal of pathogenic organisms disrupting the microbiome | CRIKIT: Developing a rapid CRISPR-based diagnostic kit for detecting antibiotic resistance | OUTCASST: Out-of-cell CRISPR Activated Sequence-specific Signal Transducer | CASPRE - Preliminary Genetic Testing Kit | Mulan - a real-time off-target detection and biostorage device based on CRISPR | Efficient Detection of Listeria monocytogenes by a Cas12a-crRNA complex and ssDNA | CODE-M : Cas Optimised DEvice for MDR-TB detection | Combined CRISPRi and Antisense RNA Toggle Switch | Urinetrouble: Detecting Antibiotic Resistance Equipment | Improving the CRISPR/Cas9 Tool Kit: Editing and Regulating
40,Aptamer-Based Biosensors,"Diagnostic sensors using in vitro selected aptamers for rapid detection of pathogens, biomarkers, and small molecules.",,141,24,103,14,project,False,"selex, aptasensor, histamine, aptamer based, aptamers, cea, aptamer, pct",c25:Electrochemical Immunoassay Biosensors(0.84) | c38:miRNA Diagnostic Biosensors(0.83) | c74:Genetic Logic Circuits(0.81) | c39:CRISPR Diagnostic Biosensors(0.80) | c16:Engineered Antibody Design(0.79),Gotta Detect 'Em All: a multi-STI sensor based on aptamers | Aptapaper - Detecting Any Protein On Paper Test Strips | AEGIS: Aptamer Evolve for Global InSitu Sensing | Development of an Aptamer-based Solution to detect Uropathogenic Bacteria at the Point-of-Care | DIANE: An aptamer-based device for rapid detection of pathogenic bacteria in biological fluids | Internet of BioThings | ABrCaDaBra | METHOD OF DETECTING TARGET MOLECULE BY USING APTAMER | OASYS -  A Novel FRET based microfluidic device to aid MDD diagnosis | General disease detection with Protease and Aptamer (GPA)
41,Allopolyploid Genome Evolution,"Genomic rearrangements, homeolog expression, and diploidization mechanisms in synthetic and natural allopolyploids.",,57,56,0,1,paper,False,"allopolyploids, allopolyploid, polyploids, allotetraploids, polyploid, allotetraploid, brassica, homoeologous",c42:Synthetic Hexaploid Wheat Genomics(0.87) | c61:Plant Genetic Engineering Tools(0.79) | c49:Saccharomyces cerevisiae Sc2.0 Synthesis(0.76) | c50:Minimal Genome Design(0.66) | c6:Microalgal Chloroplast Engineering(0.66),"Genome evolution of allopolyploids: a process of cytological and genetic diploidization | Mechanisms of genomic rearrangements and gene expression changes in plant polyploids | The <i>BOY NAMED SUE</i> Quantitative Trait Locus Confers Increased Meiotic Stability to an Adapted Natural Allopolyploid of <i>Arabidopsis</i> | Analysis of Genomic Variation in Different Brassica Napus Synthetic Allopolyploids | Surviving a Genome Collision: Genomic Signatures of Allopolyploidization in the Recent Crop Species <i>Brassica napus</i> | Genome-wide quantification of homeolog expression ratio revealed nonstochastic gene regulation in synthetic allopolyploid <i>Arabidopsis</i> | The occurrence, inheritance, and segregation of complex genomic structural variation in synthetic Brassica napus | Nuclear DNA amount and genome downsizing in natural and synthetic allopolyploids of the genera<i>Aegilops</i>and<i>Triticum</i> | Evolution and Expression of Homeologous Loci in <i>Tragopogon miscellus</i> (Asteraceae), a Recent and Reciprocally Formed Allopolyploid | Rapid genomic changes in interspecific and intergeneric hybrids and allopolyploids of Triticeae"
42,Synthetic Hexaploid Wheat Genomics,Genome-wide association and genomic prediction studies of synthetic hexaploid wheat derived from Aegilops and Triticum crosses.,,52,52,0,0,paper,False,"hexaploid, synthetic hexaploid, tauschii, wheat, gwas, aegilops, accessions, mtas",c41:Allopolyploid Genome Evolution(0.87) | c61:Plant Genetic Engineering Tools(0.77) | c34:Genomic Variant Prediction & Benchmarking(0.73) | c49:Saccharomyces cerevisiae Sc2.0 Synthesis(0.70) | c48:Non-Conventional Yeast Metabolic Engineering(0.64),Identification of quantitative trait loci controlling grain size and shape in the D genome of synthetic hexaploid wheat lines | Genome-Wide Analyses Reveal Footprints of Divergent Selection and Drought Adaptive Traits in Synthetic-Derived Wheats | Genomic Selection for Increased Yield in Synthetic‐Derived Wheat | Distinct genetic regulation of flowering time and grain-filling period based on empirical study of D-genome diversity in synthetic hexaploid wheat lin | Genome-Wide Association Study for Multiple Biotic Stress Resistance in Synthetic Hexaploid Wheat | Genomic prediction of synthetic hexaploid wheat upon tetraploid <i>durum</i> and diploid <i>Aegilops</i> parental pools | RNA Sequencing-Based Bulked Segregant Analysis Facilitates Efficient D-genome Marker Development for a Specific Chromosomal Region of Synthetic Hexapl | Phenotypic effects of the U-genome variation in nascent synthetic hexaploids derived from interspecific crosses between durum wheat and its diploid re | Genome-Wide Association Study Reveals Novel Genomic Regions for Grain Yield and Yield-Related Traits in Drought-Stressed Synthetic Hexaploid Wheat | Identification of QTL for Grain Size and Shape on the D Genome of Natural and Synthetic Allohexaploid Wheats with Near-Identical AABB Genomes
43,Engineered Bacteria Cancer Immunotherapy,Synthetic bacteria engineered to target tumors and trigger immunogenic cell death pathways like ferroptosis and pyroptosis.,,93,14,78,1,project,False,"fusobacterium, nucleatum, typhimurium, salmonella typhimurium, vnp20009, tumor targeting, ferroptosis, kynurenine",c76:Engineered Lactobacillus Therapeutics(0.84) | c52:miRNA-Based Cancer Immunotherapy(0.82) | c46:Psychobiotic Probiotic Engineering(0.82) | c66:Peptide-Based Cell Targeting(0.79) | c39:CRISPR Diagnostic Biosensors(0.76),"Engineered Probiotic for Targeted Tumor Therapy | MicroBeacon: A Microbial Beacon for Cancer Detection | Tumor-Targeting Salmonella-Mediated Apoptosis Therapy (T-SAT) | FeFighterS  Engineered Bacteria Induce Ferroptosis in Tumor Cells | BactoVax: A Modular, Bacterial-based Cancer Vaccine Platform | Self‐Adjusting Engineered Probiotic for Targeted Tumor Colonization and Local Therapeutics Delivery | Pyroptosis: a new approach for cancer therapy | Controlled missiles: Targeted treatment of tumors with engineered E. coli | Antitumor Immunotherapy Using Guanylate Cyclase-Based Engineered Bacteria to Target the STING Pathway in Macrophages | Engineered Bacteria for Immunotherapy of Triple Negative Breast Cancer"
44,Cellulose Degradation & Biomaterials,Engineering cellulase enzymes and bacterial cellulose production for sustainable materials and waste conversion.,,157,18,101,38,project,False,"flame, endoglucanase, retardant, cellulase, bacterial cellulose, xylinus, xylanase, fashion industry",c59:Engineered Biocontrol Agents(0.79) | c27:PETase Engineering for Plastic Degradation(0.78) | c47:Bacillus subtilis Biofilm Engineering(0.78) | c35:Polyhydroxyalkanoate Biopolymer Production(0.78) | c58:Yeast Metabolite Biosynthesis(0.77),Cellulophile | Manufacture of Bacterial Cellulose Biomaterials: Towards Tailor-Made Biofilters | Exullose  unlocking the potential of biomaterials | Engineering the Future of Biofuel | Pine-sorb- creating an Eco-friendly and biodegradable oil absorbent using synthetic biology | Highly productive alpha-amylases | Endoglucanase having enhanced thermostability and activity | Continuous Greening Cycle | CellulALT: A copolymer of glucose and chitin for manufacturing medical biomaterials for sustainable space exploration. | A System for Degrading Waste Cellulose and Generating Electricity
45,Site-Specific Recombinase Integration,"Serine integrase and transposase-mediated chromosomal integration for rapid, scarless genome engineering in bacteria.",,80,66,2,12,paper,False,"integrases, serine integrases, eso, ohno, ssrs, baumannii, transposases, recombinases",c33:Modular DNA Assembly Standards(0.85) | c19:Engineered Live Bacterial Therapeutics(0.83) | c57:Microbial Bioremediation & Biochemical Production(0.82) | c50:Minimal Genome Design(0.82) | c64:Bacterial Promoter Engineering(0.81),"Simultaneous non-contiguous deletions using large synthetic DNA and site-specific recombinases | From Design to Practice: A Comprehensive Tutorial for the Rapid Multiplex Engineering of Escherichia coli Using Antibiotic Resistance Markers | High-throughput genetic engineering of nonmodel and undomesticated bacteria via iterative site-specific genome integration | A Simple and Effective Method for Construction of Escherichia coli Strains Proficient for Genome Engineering | Conditional-Replication, Integration, Excision, and Retrieval Plasmid-Host Systems for Gene Structure-Function Studies of Bacteria | Directed evolution of Escherichia coli with lower-than-natural plasmid mutation rates | Rapid metabolic pathway assembly and modification using serine integrase site-specific recombination | Lambda Red recombinase-mediated integration of the high molecular weight DNA into the Escherichia coli chromosome | A versatile and highly efficient method for scarless genome editing in Escherichia coli and Salmonella enterica | One-Step Cloning and Chromosomal Integration of DNA"
46,Psychobiotic Probiotic Engineering,Engineering probiotics to produce neurotransmitters and metabolites for mental health and neurological disorder treatment.,,105,12,88,5,project,False,"serotonin, theanine, htp, melatonin, trimethylamine, gaba, tmao, depression",c76:Engineered Lactobacillus Therapeutics(0.84) | c55:Nutrient Cycling Biosensors(0.83) | c58:Yeast Metabolite Biosynthesis(0.83) | c43:Engineered Bacteria Cancer Immunotherapy(0.82) | c79:Light-Responsive Bacterial Circuits(0.80),Psychiatric Disorders Regulating Probiotics | Parkinson's disease treatment - new probiotic therapy | Tea-HEE | SymbioSerotonin: Cultivating Happiness from Within | Strangle locust plague at birth | Based on the 5-HT theory to explore new solutions against depression | An adventure of ancient snails: Revive Tyrian purple by E.coli | SERENE: Bringing serenity into your lives! | Tyrian Purple Producer | Reach for Light
