id,rep_patent,title,abstract,text,has_abstract
1w144p41t3z24m3203w6o1s192co1e75j4d,US10011880,MICRORNAS IN SERUM/BLOOD PLASMA AND THEIR USES,"MicroRNAs are provided for evaluating the physiological and/or pathological condition of a subject; and a kit thereof is provided for evaluating the physiological and/or pathological condition of a subject, wherein the kit contains the tools for determining all detectable microRNAs that stably existing in the serum/plasma of a subject; and a biochip for evaluating the physiological and/or pathological condition of a subject, wherein the biochip contains the components for determining all detectable microRNAs stably existing in the serum/plasma of a subject. The aforementioned combination, method, kit and biochip can be used for diagnosis as well as differentially diagnosis of diseases including various tumors.","MICRORNAS IN SERUM/BLOOD PLASMA AND THEIR USES. MicroRNAs are provided for evaluating the physiological and/or pathological condition of a subject; and a kit thereof is provided for evaluating the physiological and/or pathological condition of a subject, wherein the kit contains the tools for determining all detectable microRNAs that stably existing in the serum/plasma of a subject; and a biochip for evaluating the physiological and/or pathological condition of a subject, wherein the biochip contains the components for determining all detectable microRNAs stably existing in the serum/plasma of a subject. The aforementioned combination, method, kit and biochip can be used for diagnosis as well as differentially diagnosis of diseases including various tumors",True
4k5y604r1321g2c552o6g642j566m4x2e1p6d2s,US8455107,METHOD OF TREATING CELLULOSIC MATERIALS WITH HYDROPHOBINS,"By treatment with hydrophobins, cellulosic materials such as paper, cardboard, cotton or, especially, wood-based materials, such as solid wood, glued wood products or particle board, can be effectively protected against absorption of and attack by water and/or moisture.","METHOD OF TREATING CELLULOSIC MATERIALS WITH HYDROPHOBINS. By treatment with hydrophobins, cellulosic materials such as paper, cardboard, cotton or, especially, wood-based materials, such as solid wood, glued wood products or particle board, can be effectively protected against absorption of and attack by water and/or moisture",True
3u1f6q06yg4l6b3k2j6e5p1u2u69685p2b2g3k,US8778338,COMBINATION ENZYME THERAPY FOR DIGESTION OF DIETARY GLUTEN,A combination enzyme product consisting of a glutamine specific endoprotease and a prolyl endopeptidase is provided. Both enzymes are active and stable in the stomach and can therefore be administered as lyophilized powders or simple capsules/tablets. A ratio of the two enzymes is used to maximize their synergy.,COMBINATION ENZYME THERAPY FOR DIGESTION OF DIETARY GLUTEN. A combination enzyme product consisting of a glutamine specific endoprotease and a prolyl endopeptidase is provided. Both enzymes are active and stable in the stomach and can therefore be administered as lyophilized powders or simple capsules/tablets. A ratio of the two enzymes is used to maximize their synergy,True
6c5n6110282n3b102s1p2u2b6p1nq3a3p6y641j,US8691164,CELL SORTING SYSTEM,"Apparatus and Methods are provided for a microfabricated fluorescence activated cell sorter based on a switch for rapid, active control of cell routing through a microfluidic channel network. This sorter enables low-stress, highly efficient sorting of populations of small numbers of cells (i.e., 1000-100,000 cells). The invention includes packaging of the microfluidic channel network in a self-contained plastic cartridge that enables microfluidic channel network to macro-scale instrument interconnect, in a sterile, disposable format. Optical and/or fluidic switching forces are used alone or in combination to effect switching.","CELL SORTING SYSTEM. Apparatus and Methods are provided for a microfabricated fluorescence activated cell sorter based on a switch for rapid, active control of cell routing through a microfluidic channel network. This sorter enables low-stress, highly efficient sorting of populations of small numbers of cells (i.e., 1000-100,000 cells). The invention includes packaging of the microfluidic channel network in a self-contained plastic cartridge that enables microfluidic channel network to macro-scale instrument interconnect, in a sterile, disposable format. Optical and/or fluidic switching forces are used alone or in combination to effect switching",True
171h491g112m6x6g5f6k1j1ll733i1y1b56716i,US9090668,PROCESS FOR SYNTHESIZING CYCLIC PEPTIDE COMPOUND,"The objective is to provide a novel process for synthesizing a cyclic peptide compound. It is also an objective to provide a novel cyclic peptide compound. The novel process for synthesizing a cyclic peptide compound comprises the steps of: (1) translationally synthesizing a non-cyclic peptide compound having in a molecule a functional group 1 and a functional group 2, which are a pair of functional groups capable of reacting to form a bond, and (2) cyclizing the non-cyclic peptide compound by the reaction of the functional groups 1 and 2 to form a bond. The novel cyclic peptide compound can be synthesized by the process.","PROCESS FOR SYNTHESIZING CYCLIC PEPTIDE COMPOUND. The objective is to provide a novel process for synthesizing a cyclic peptide compound. It is also an objective to provide a novel cyclic peptide compound. The novel process for synthesizing a cyclic peptide compound comprises the steps of: (1) translationally synthesizing a non-cyclic peptide compound having in a molecule a functional group 1 and a functional group 2, which are a pair of functional groups capable of reacting to form a bond, and (2) cyclizing the non-cyclic peptide compound by the reaction of the functional groups 1 and 2 to form a bond. The novel cyclic peptide compound can be synthesized by the process",True
4k4p323a11nd5h5s1a526l5ck5v54o173mp,US8420378,SYNTHESIS OF MYCOPHENOLIC ACID (MPA),"The present invention relates to novel tools for improving MPA production. In particular, the present invention relates to fungal enzymes that are specific for MPA synthesis.","SYNTHESIS OF MYCOPHENOLIC ACID (MPA). The present invention relates to novel tools for improving MPA production. In particular, the present invention relates to fungal enzymes that are specific for MPA synthesis",True
406r4m1d53hc565rx5k261v1z1t156e6c2ip,US7994127,IGF FOR THE TREATMENT OF RETT SYNDROME AND SYNAPTIC DISORDERS,"The invention relates to methods for treatment of Rett Syndrome and other disorders of synaptic function and maturation using IGF1, (1-3)IGF-1, (1-3)IGF-1 analog(s) and/or related therapeutic molecules.","IGF FOR THE TREATMENT OF RETT SYNDROME AND SYNAPTIC DISORDERS. The invention relates to methods for treatment of Rett Syndrome and other disorders of synaptic function and maturation using IGF1, (1-3)IGF-1, (1-3)IGF-1 analog(s) and/or related therapeutic molecules",True
1y2r742a4h6s1u6y4ok6z196e03w1x6e2u57,US8822661,XYLOSE REDUCTASE MUTANTS AND USES THEREOF,Engineered mutant xylose reductases demonstrate higher preference to xylose than arabinose. Amino acid mutations were engineered in to native xylose reductase from Neurospora crassa . Mutant xylose reductases are useful in the production of xylitol and ethanol.,XYLOSE REDUCTASE MUTANTS AND USES THEREOF. Engineered mutant xylose reductases demonstrate higher preference to xylose than arabinose. Amino acid mutations were engineered in to native xylose reductase from Neurospora crassa . Mutant xylose reductases are useful in the production of xylitol and ethanol,True
46163m341b5u4hx6b144g5v6z6f6h5b1845h2o,US8993280,METHOD FOR PRODUCTION OF ALKALOID,"The present invention provides a method for producing an alkaloid, for example, reticuline, comprising providing dopamine as a substrate for a series of actions of monoamine oxidase, norcoclaurine-6-O-methyltransferase, coclaurine-N-methyltransferase and 3&#x2032;-hydroxy-N-methylcoclaurine-4&#x2032;-O-methyltransferase.","METHOD FOR PRODUCTION OF ALKALOID. The present invention provides a method for producing an alkaloid, for example, reticuline, comprising providing dopamine as a substrate for a series of actions of monoamine oxidase, norcoclaurine-6-O-methyltransferase, coclaurine-N-methyltransferase and 3&#x2032;-hydroxy-N-methylcoclaurine-4&#x2032;-O-methyltransferase",True
273g622j1a2c65521h6b65662h1a1a4o5v6d7l,US8637009,THERMOSTABILIZATION OF PROTEINS,"Provided are compositions comprising a cocaine esterase (CocE) and a compound that thermostabilizes the CocE. Also provided are methods of thermostabilizing a cocaine esterase. Additionally provided are methods of treating a mammal undergoing a cocaine-induced condition. Methods of determining whether a compound is a thermostabilizing agent for a protein are also provided. Uses of the above-described compositions for the treatment of a cocaine-induced condition is additionally provided. Additionally provided is an isolated nucleic acid encoding a CocE polypeptide having the substitutions L169K and G173Q, and the CocE polypeptide encoded by that nucleic acid, and pharmaceutical compositions thereof. Further provided is the use of that composition for the manufacture of a medicament for the treatment of a cocaine-induced condition and for the treatment of a cocaine-induced condition.","THERMOSTABILIZATION OF PROTEINS. Provided are compositions comprising a cocaine esterase (CocE) and a compound that thermostabilizes the CocE. Also provided are methods of thermostabilizing a cocaine esterase. Additionally provided are methods of treating a mammal undergoing a cocaine-induced condition. Methods of determining whether a compound is a thermostabilizing agent for a protein are also provided. Uses of the above-described compositions for the treatment of a cocaine-induced condition is additionally provided. Additionally provided is an isolated nucleic acid encoding a CocE polypeptide having the substitutions L169K and G173Q, and the CocE polypeptide encoded by that nucleic acid, and pharmaceutical compositions thereof. Further provided is the use of that composition for the manufacture of a medicament for the treatment of a cocaine-induced condition and for the treatment of a cocaine-induced condition",True
q62w22236n1i364d255f15453z2v2x3n324c,US8338146,Process for producing optically active alcohols employing an dehydrogenase derived from Azoarcus sp. EbN1,"A process for preparing optically active alcohols of the formula Ia or Ib in which R 1 ,R 2 are alkyl, alkenyl, aryl, or alkylaryl groups which may in turn be substituted one or more times by alkyl, halogen, SH, SR 2 , OH, OR 2 , NO 2 , CN, CO, COOR 2 , NR 2 R 3 or NR 2 R 3 R 4+ X, where R 2 , R 3 and R 4 are independently of one another H or a lower alkyl or lower alkoxy radical, and X &#x2212; is a counter ion, with the proviso that R 1 is not equal to R 2, by reducing the corresponding ketone, where the reduction is carried out with a dehydrogenase having the polypeptide sequence of SEQ ID NO: 2 or NO: 4, or with a polypeptide sequence in which up to 25% of the amino acid residues are altered by comparison with SEQ ID NO: 2 or NO: 4 by deletion, insertion, substitution or a combination thereof.","Process for producing optically active alcohols employing an dehydrogenase derived from Azoarcus sp. EbN1. A process for preparing optically active alcohols of the formula Ia or Ib in which R 1 ,R 2 are alkyl, alkenyl, aryl, or alkylaryl groups which may in turn be substituted one or more times by alkyl, halogen, SH, SR 2 , OH, OR 2 , NO 2 , CN, CO, COOR 2 , NR 2 R 3 or NR 2 R 3 R 4+ X, where R 2 , R 3 and R 4 are independently of one another H or a lower alkyl or lower alkoxy radical, and X &#x2212; is a counter ion, with the proviso that R 1 is not equal to R 2, by reducing the corresponding ketone, where the reduction is carried out with a dehydrogenase having the polypeptide sequence of SEQ ID NO: 2 or NO: 4, or with a polypeptide sequence in which up to 25% of the amino acid residues are altered by comparison with SEQ ID NO: 2 or NO: 4 by deletion, insertion, substitution or a combination thereof",True
6k4q5b3a295z2i2g502ka162m673w4a5i5j493p,US8883420,Process of clean cloning,"A process of inserting a nucleic acid sequence of interest into an acceptor nucleic acid is provided. The process comprises amplifying by PCR a DNA comprising in the following order a sequence segment U, a nucleic acid sequence segment of known nucleotide sequence K2, and a nucleic acid sequence segment of known sequence K3. The process further comprises treating the linear double-stranded DNA molecules from the PCR amplification with an exonuclease to obtain a single-stranded overhang at the first end of the DNA and a single-stranded overhang comprising nucleic acid segments K2 and K3 at the second end of the DNA. The process additionally comprises annealing the product of the exonuclease treatment to a linearized double-stranded acceptor nucleic acid which has been designed to complement the single-stranded overhangs of the product of the exonuclease treatment.","Process of clean cloning. A process of inserting a nucleic acid sequence of interest into an acceptor nucleic acid is provided. The process comprises amplifying by PCR a DNA comprising in the following order a sequence segment U, a nucleic acid sequence segment of known nucleotide sequence K2, and a nucleic acid sequence segment of known sequence K3. The process further comprises treating the linear double-stranded DNA molecules from the PCR amplification with an exonuclease to obtain a single-stranded overhang at the first end of the DNA and a single-stranded overhang comprising nucleic acid segments K2 and K3 at the second end of the DNA. The process additionally comprises annealing the product of the exonuclease treatment to a linearized double-stranded acceptor nucleic acid which has been designed to complement the single-stranded overhangs of the product of the exonuclease treatment",True
5j2p1r3t264nec3e4q281h485l6q5a3or52g,US8393356,DEVICE FOR CONTROLLING FLUID MOTION INTO MICRO/NANOCHANNELS BY MEANS OF SURFACE ACOUSTIC WAVES,A device for controlling fluid motion in a micro/nanofluidic structure of channels by means of surface acoustic waves is described. The device comprises a structured volume of material bearing a predetermined configuration of micro/nanofluidic channels for holding and transferring amounts of fluids adapted to define at least one fluid inlet and at least one fluid outlet and presenting a hydrophobic behaviour for the fluids to be handled and a substrate made of material with piezoelectric properties coupled to the micro/nanofluidic channels.,DEVICE FOR CONTROLLING FLUID MOTION INTO MICRO/NANOCHANNELS BY MEANS OF SURFACE ACOUSTIC WAVES. A device for controlling fluid motion in a micro/nanofluidic structure of channels by means of surface acoustic waves is described. The device comprises a structured volume of material bearing a predetermined configuration of micro/nanofluidic channels for holding and transferring amounts of fluids adapted to define at least one fluid inlet and at least one fluid outlet and presenting a hydrophobic behaviour for the fluids to be handled and a substrate made of material with piezoelectric properties coupled to the micro/nanofluidic channels,True
4q5j73383u616j2e3c2f6f163i5j6252u171n45,US8895207,Novel materials and their use for the electrocatalytic evolution or uptake of H2,"Novel materials comprising a solid support, linker arms and metal-organic complexes, and their use for the electrocatalytic production and oxidation of H2. Such materials can be used for the production of electrodes in the field of electronics, and notably electrodes for fuel cells, electrolysers and photoelectrocatalytical (PEC) devices.","Novel materials and their use for the electrocatalytic evolution or uptake of H2. Novel materials comprising a solid support, linker arms and metal-organic complexes, and their use for the electrocatalytic production and oxidation of H2. Such materials can be used for the production of electrodes in the field of electronics, and notably electrodes for fuel cells, electrolysers and photoelectrocatalytical (PEC) devices",True
143l31n6u384e4i675x6c5s3ni133t6q384y6a,US8716457,NUCLEOBASE CHARACTERISATION,"The present invention provides modified nucleobase compounds, modified nucleic acid mimetic compounds and various uses thereof. In addition, the invention provides methods for nucleobase characterisation, SNP characterisation and nucleic acid sequencing.","NUCLEOBASE CHARACTERISATION. The present invention provides modified nucleobase compounds, modified nucleic acid mimetic compounds and various uses thereof. In addition, the invention provides methods for nucleobase characterisation, SNP characterisation and nucleic acid sequencing",True
2a3s2xx1sb4d4t604q3k5g5a2u5wr2yj19,US8698481,HIGH-RESOLUTION MOLECULAR GRAPHENE SENSOR COMPRISING AN APERTURE IN THE GRAPHENE LAYER,A solid state molecular sensor having an aperture extending through a thickness of a sensing region is configured with a sensing region thickness that corresponds to the characteristic extent of at least a component of a molecular species to be translocated through the aperture. A change in an electrical characteristic of the sensing region is measured during the molecular species translocation. The sensor can be configured as a field effect transistor molecular sensor. The sensing region can be a region of graphene including an aperture extending through a thickness of the graphene.,HIGH-RESOLUTION MOLECULAR GRAPHENE SENSOR COMPRISING AN APERTURE IN THE GRAPHENE LAYER. A solid state molecular sensor having an aperture extending through a thickness of a sensing region is configured with a sensing region thickness that corresponds to the characteristic extent of at least a component of a molecular species to be translocated through the aperture. A change in an electrical characteristic of the sensing region is measured during the molecular species translocation. The sensor can be configured as a field effect transistor molecular sensor. The sensing region can be a region of graphene including an aperture extending through a thickness of the graphene,True
3s435m4g331l4a355d542v6v4h4x6p4da6o6r6z,US9102919,WNT PATHWAY STIMULATION IN REPROGRAMMING SOMATIC CELLS,"The invention provides compositions and methods of use in reprogramming somatic cells. Compositions and methods of the invention are of use, e.g., for generating or modulating (e.g., enhancing) generation of induced pluripotent stem cells by reprogramming somatic cells. The reprogrammed somatic cells are useful for a number of purposes, including treating or preventing a medical condition in an individual. The invention further provides methods for identifying an agent that reprograms somatic cells to a pluripotent state and/or enhances the speed and/or efficiency of reprogramming. Certain of the compositions and methods relate to modulating the Wnt pathway.","WNT PATHWAY STIMULATION IN REPROGRAMMING SOMATIC CELLS. The invention provides compositions and methods of use in reprogramming somatic cells. Compositions and methods of the invention are of use, e.g., for generating or modulating (e.g., enhancing) generation of induced pluripotent stem cells by reprogramming somatic cells. The reprogrammed somatic cells are useful for a number of purposes, including treating or preventing a medical condition in an individual. The invention further provides methods for identifying an agent that reprograms somatic cells to a pluripotent state and/or enhances the speed and/or efficiency of reprogramming. Certain of the compositions and methods relate to modulating the Wnt pathway",True
2b4i5936135x5d1c5c46502w4t533y306j4yf39,US9012175,Mutant AOX1 promoters,"A mutant Pichia pastoris alcohol oxidase 1 (AOX1) promoter of the wild type Pichia pastoris AOX1 promoter (SEQ ID No. 1) comprising at least one mutation selected from the group consisting of: a) a transcription factor binding site (TFBS), b) nucleotides 170 to 235 (&#x2212;784 to &#x2212;719), nucleotides 170 to 191 (&#x2212;784 to &#x2212;763), nucleotides 192 to 213 (&#x2212;762 to &#x2212;741), nucleotides 192 to 210 (&#x2212;762 to &#x2212;744), nucleotides 207 to 209 (&#x2212;747 to &#x2212;745), nucleotides 214 to 235 (&#x2212;740 to &#x2212;719), nucleotides 304 to 350 (&#x2212;650 to &#x2212;604), nucleotides 364 to 393 (&#x2212;590 to &#x2212;561), nucleotides 434 to 508 (&#x2212;520 to &#x2212;446), nucleotides 509 to 551 (&#x2212;445 to &#x2212;403), nucleotides 552 to 560 (&#x2212;402 to &#x2212;394), nucleotides 585 to 617 (&#x2212;369 to &#x2212;337), nucleotides 621 to 660 (&#x2212;333 to &#x2212;294), nucleotides 625 to 683 (&#x2212;329 to &#x2212;271), nucleotides 736 to 741 (&#x2212;218 to &#x2212;213), nucleotides 737 to 738 (&#x2212;217 to &#x2212;216), nucleotides 726 to 755 (&#x2212;228 to &#x2212;199), nucleotides 784 to 800 (&#x2212;170 to &#x2212;154) or nucleotides 823 to 861 (&#x2212;131 to &#x2212;93) of Seq ID No. 1, and combinations thereof.","Mutant AOX1 promoters. A mutant Pichia pastoris alcohol oxidase 1 (AOX1) promoter of the wild type Pichia pastoris AOX1 promoter (SEQ ID No. 1) comprising at least one mutation selected from the group consisting of: a) a transcription factor binding site (TFBS), b) nucleotides 170 to 235 (&#x2212;784 to &#x2212;719), nucleotides 170 to 191 (&#x2212;784 to &#x2212;763), nucleotides 192 to 213 (&#x2212;762 to &#x2212;741), nucleotides 192 to 210 (&#x2212;762 to &#x2212;744), nucleotides 207 to 209 (&#x2212;747 to &#x2212;745), nucleotides 214 to 235 (&#x2212;740 to &#x2212;719), nucleotides 304 to 350 (&#x2212;650 to &#x2212;604), nucleotides 364 to 393 (&#x2212;590 to &#x2212;561), nucleotides 434 to 508 (&#x2212;520 to &#x2212;446), nucleotides 509 to 551 (&#x2212;445 to &#x2212;403), nucleotides 552 to 560 (&#x2212;402 to &#x2212;394), nucleotides 585 to 617 (&#x2212;369 to &#x2212;337), nucleotides 621 to 660 (&#x2212;333 to &#x2212;294), nucleotides 625 to 683 (&#x2212;329 to &#x2212;271), nucleotides 736 to 741 (&#x2212;218 to &#x2212;213), nucleotides 737 to 738 (&#x2212;217 to &#x2212;216), nucleotides 726 to 755 (&#x2212;228 to &#x2212;199), nucleotides 784 to 800 (&#x2212;170 to &#x2212;154) or nucleotides 823 to 861 (&#x2212;131 to &#x2212;93) of Seq ID No. 1, and combinations thereof",True
6t6m4b6a4o2t31403r434f44i705y3v4g414h3a,US9096860,"MUTANTS HAVING CAPABILITY TO PRODUCE 1,4-BUTANEDIOL AND METHOD FOR PREPARING 1,4-BUTANEDIOL USING THE SAME","A mutant capable of producing 1,4-butanediol and a method of preparing 1,4-butanediol using the same are provided. The mutant microorganism is prepared by introducing and amplifying genes encoding enzymes converting succinate into 4-hydroxybutyrate and 4-hydroxybutyrate into 1,4-butanediol in a microorganism capable of producing succinate. The method includes culturing the mutant in a medium containing carbohydrate and obtaining 1,4-butanediol from the culture. Thus, 1,4-butanediol, which is essential in chemical industry, can be prepared in a biological process.","MUTANTS HAVING CAPABILITY TO PRODUCE 1,4-BUTANEDIOL AND METHOD FOR PREPARING 1,4-BUTANEDIOL USING THE SAME. A mutant capable of producing 1,4-butanediol and a method of preparing 1,4-butanediol using the same are provided. The mutant microorganism is prepared by introducing and amplifying genes encoding enzymes converting succinate into 4-hydroxybutyrate and 4-hydroxybutyrate into 1,4-butanediol in a microorganism capable of producing succinate. The method includes culturing the mutant in a medium containing carbohydrate and obtaining 1,4-butanediol from the culture. Thus, 1,4-butanediol, which is essential in chemical industry, can be prepared in a biological process",True
27343k2u34482s2jv6d6y2r116l225g2y6c6q1n,US8535946,BIOMARKER TO MEASURE DRUG EFFICACY IN ENTEROPATHIC DISEASE,"The response of a patient with an enteropathic disease to therapy, particularly a candidate therapy in a clinical trial setting, is assessed by detecting the ability of the patient to metabolize an orally administered CYP3A substrate. The CYP3A metabolism may be monitored in a variety of ways. Conveniently, the appearance of a metabolite of the CYP3A substrate is detected in a patient sample over a period of time following oral administration, e.g. in urine, plasma, breath, saliva, etc. The CYP3A substrate is optionally labeled, e.g. with an isotopic, fluorescent, etc. label.","BIOMARKER TO MEASURE DRUG EFFICACY IN ENTEROPATHIC DISEASE. The response of a patient with an enteropathic disease to therapy, particularly a candidate therapy in a clinical trial setting, is assessed by detecting the ability of the patient to metabolize an orally administered CYP3A substrate. The CYP3A metabolism may be monitored in a variety of ways. Conveniently, the appearance of a metabolite of the CYP3A substrate is detected in a patient sample over a period of time following oral administration, e.g. in urine, plasma, breath, saliva, etc. The CYP3A substrate is optionally labeled, e.g. with an isotopic, fluorescent, etc. label",True
41585yz6k6r1c486w1s1m163f361u4h1tz6t4k,US8084201,FLUORESCENT MOLECULE FROM A PROFLUOROPHORE,"It is an object of the present invention to provide an on-off type fluorescent compound (a fluorescence-producing molecule system) used in gene analyses, which is highly stable (namely, being active for a long period of time) and highly sensitive, and which enables amplification of a trace amount of gene signal and observation thereof. The present invention provides a nonfluorescent molecule having a fluorescent substance skeleton such as fluorescein skeleton and having a group represented by &#x2014;O&#x2014;C(Y1)(Y2)-N 3 wherein each of Y1 and Y2 represents a hydrogen atom, an alkyl group containing 1 to 6 carbon atoms, an alkoxy group containing 1 to 6 carbon atoms, an aryl group containing 6 to 10 carbon atoms, or a cyano group, in the molecule.","FLUORESCENT MOLECULE FROM A PROFLUOROPHORE. It is an object of the present invention to provide an on-off type fluorescent compound (a fluorescence-producing molecule system) used in gene analyses, which is highly stable (namely, being active for a long period of time) and highly sensitive, and which enables amplification of a trace amount of gene signal and observation thereof. The present invention provides a nonfluorescent molecule having a fluorescent substance skeleton such as fluorescein skeleton and having a group represented by &#x2014;O&#x2014;C(Y1)(Y2)-N 3 wherein each of Y1 and Y2 represents a hydrogen atom, an alkyl group containing 1 to 6 carbon atoms, an alkoxy group containing 1 to 6 carbon atoms, an aryl group containing 6 to 10 carbon atoms, or a cyano group, in the molecule",True
703j6o4l3o434qx6m5i5k2r5g5c85k3o6d1t12,US6803222,ALKALINE PROTEASES,,ALKALINE PROTEASES,False
6y4f274v3x3m6o3n4c4u53447201w2sj2o4qz,US7714121,Neisseria meningitidis antigens,"The invention provides proteins from Neisseria meningitidis (strains A &#x26; B), including amino acid sequences, the corresponding nucleotide sequences, expression data, and serological data. The proteins are useful antigens for vaccines, immunogenic compositions, and/or diagnostics.","Neisseria meningitidis antigens. The invention provides proteins from Neisseria meningitidis (strains A &#x26; B), including amino acid sequences, the corresponding nucleotide sequences, expression data, and serological data. The proteins are useful antigens for vaccines, immunogenic compositions, and/or diagnostics",True
d264g2g576sy4y3a27543t1a2w2m4u6b3q5j,US9669088,VACCINATION WITH MULTIPLE CLADES OF H5 INFLUENZA A VIRUS,"H5N1 influenza viruses isolated from animals and humans since 2003 separate into distinct clades based on hemagglutinin amino acid sequences. According to the invention, multiple clades are used in influenza immunization. Thus there is a prime-boost immunization schedule where a subject receives a priming dose of a first clade of H5 influenza A virus and a boosting dose of a second clade of H5 influenza A virus. There is also an immunogenic composition comprising hemagglutinin antigens from more than one clade of H5 influenza A virus.","VACCINATION WITH MULTIPLE CLADES OF H5 INFLUENZA A VIRUS. H5N1 influenza viruses isolated from animals and humans since 2003 separate into distinct clades based on hemagglutinin amino acid sequences. According to the invention, multiple clades are used in influenza immunization. Thus there is a prime-boost immunization schedule where a subject receives a priming dose of a first clade of H5 influenza A virus and a boosting dose of a second clade of H5 influenza A virus. There is also an immunogenic composition comprising hemagglutinin antigens from more than one clade of H5 influenza A virus",True
s3y5c1i6r2z133m6p443c4n3b4y4w216d2c1u2v,US8951789,"MAMMALIAN ARTIFICIAL CHROMOSOME VECTOR COMPRISING HUMAN CYTOCHROME P450 GENE (CLUSTER), AND NON-HUMAN MAMMALIAN ANIMAL RETAINING THE SAME","This invention relates to a mammalian artificial chromosome vector, which retains a human chromosome 7 fragment comprising human cytochrome P450 genes and is transmittable to progeny, wherein the human chromosome 7 fragment retains a region of approximately 1 Mb&#xb1;500 Kb in size comprising at least a human CYP3A gene cluster, which region is located between chromosome markers AC004922 and AC073842, and to a non-human mammalian animal retaining the vector.","MAMMALIAN ARTIFICIAL CHROMOSOME VECTOR COMPRISING HUMAN CYTOCHROME P450 GENE (CLUSTER), AND NON-HUMAN MAMMALIAN ANIMAL RETAINING THE SAME. This invention relates to a mammalian artificial chromosome vector, which retains a human chromosome 7 fragment comprising human cytochrome P450 genes and is transmittable to progeny, wherein the human chromosome 7 fragment retains a region of approximately 1 Mb&#xb1;500 Kb in size comprising at least a human CYP3A gene cluster, which region is located between chromosome markers AC004922 and AC073842, and to a non-human mammalian animal retaining the vector",True
4zt70zl1y3kw712465b2z6ar1a67521ll,US8513165,PLANAR LIPID-BILAYER MEMBRANE ARRAY USING MICROFLUID AND ANALYSIS METHOD WITH THE USE OF THE PLANAR LIPID-BILAYER MEMBRANE,"There is provided a planar lipid bilayer array formed by microfluidic technique and a method of analysis using the planar lipid bilayers, providing the advantages such as portability, decreased analysis time, a smaller amount of required reagents, and parallel automation with high reproducibility. The planar lipid bilayer array formed by microfluidic technique is a planar lipid bilayer array formed by microfluidic technique (PDMS device) 1 saturated with water by preliminarily immersing in water, comprising microchannels 2 connected to an inlet of a microfluidic channel and arranged in parallel, and microchambers 3 having apertures on both sides of the microchannel 2.","PLANAR LIPID-BILAYER MEMBRANE ARRAY USING MICROFLUID AND ANALYSIS METHOD WITH THE USE OF THE PLANAR LIPID-BILAYER MEMBRANE. There is provided a planar lipid bilayer array formed by microfluidic technique and a method of analysis using the planar lipid bilayers, providing the advantages such as portability, decreased analysis time, a smaller amount of required reagents, and parallel automation with high reproducibility. The planar lipid bilayer array formed by microfluidic technique is a planar lipid bilayer array formed by microfluidic technique (PDMS device) 1 saturated with water by preliminarily immersing in water, comprising microchannels 2 connected to an inlet of a microfluidic channel and arranged in parallel, and microchambers 3 having apertures on both sides of the microchannel 2",True
5v6i155f3z5a491w6d23i3g1kh4384k4z2r12,US8735112,DICARBOXYLIC ACID PRODUCTION IN EUKARYOTES,The present invention relates to a recombinant yeast comprising a nucleotide sequence encoding a heterologous enzyme that catalyses the conversion of malic acid to fumaric acid. The invention further relates to a process for the production of a dicarboxylic acid wherein the yeast according to the present invention is used.,DICARBOXYLIC ACID PRODUCTION IN EUKARYOTES. The present invention relates to a recombinant yeast comprising a nucleotide sequence encoding a heterologous enzyme that catalyses the conversion of malic acid to fumaric acid. The invention further relates to a process for the production of a dicarboxylic acid wherein the yeast according to the present invention is used,True
16h2q1z5o132g39c30l673p1y6q593a37194l,US8735650,METHODS OF MODULATING PRODUCTION OF PHENYLPROPANOID COMPOUNDS IN PLANTS,"A method of enhancing production of a phenylpropanoid compound in a plant or plant cell is disclosed. The method comprising: (a) expressing in the plant or plant cell a heterologous polynucleotide which produces a myb gene of the phenylpropanoid pathway; and (b) contacting the plant or plant cell with at least one substrate of the phenylpropanoid pathway, the substrate being upstream to the production of the phenylpropanoid compound, thereby enhancing the production of a phenylpropanoid compound in the plant or plant cell.","METHODS OF MODULATING PRODUCTION OF PHENYLPROPANOID COMPOUNDS IN PLANTS. A method of enhancing production of a phenylpropanoid compound in a plant or plant cell is disclosed. The method comprising: (a) expressing in the plant or plant cell a heterologous polynucleotide which produces a myb gene of the phenylpropanoid pathway; and (b) contacting the plant or plant cell with at least one substrate of the phenylpropanoid pathway, the substrate being upstream to the production of the phenylpropanoid compound, thereby enhancing the production of a phenylpropanoid compound in the plant or plant cell",True
